Reference,Value,Description
C1,100nF,0805 capacitor
C2,10nF,0805 capacitor
"C3, C4",47uF,0805 capacitor
D1,DIODE-SCHOTTKY-40V-1A,DIODE SCHOTTKY 40V 1A MBRA140 SMA MBRA140TRPBF
D2,RED LED,0805 Red LED
J1,CONN_01X02,Molex_PicoBlade_53261-0271_02x1.25mm_Angled
"LED1, LED2, LED3, LED4, LED5",LED-RGB-WS2812B-4SMD,LED RGB WS2812B W/DVR 4SMD
"R1, R3, R4, R5, R6, R7",10k,0805 resistor
R2,1k,0805 resistor
"SW1, SW2",PUSHBUTTON,SWITCH MOMENT SPST-NO 0.05A 24V SMT B3FS-4002P B3F-4002P
U1,ESP-12S,ESP-12S wifi module
U2,SPX3819M5-L-3-3,SPX3819 Series 3.3 V Fixed Output 500 mA SMT LDO Voltage Regulator - SOT-23-5
